,City Name,Country,Date,Latitude,Longitude,Maximum Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(MPH)
50,Saint-Pierre,FR,1553173025,48.95,4.24,60.8,53,0,13.87
51,Tuktoyaktuk,CA,1553173249,69.44,-133.03,15.28,96,80,14.99
52,Ous,RU,1553173251,60.91,61.52,39.04,61,64,5.59
53,Saldanha,PT,1553173253,41.42,-6.55,54.97,39,0,7.16
54,Shimoda,JP,1553172172,34.7,138.93,60.8,100,75,9.17
55,New Norfolk,AU,1553173214,-42.78,147.06,59.0,87,75,10.29
56,Mnogovershinnyy,RU,1553173263,53.94,139.92,-1.2,78,12,2.13
57,Dordrecht,NL,1553173264,51.8,4.68,57.99,81,90,8.05
58,Yulara,AU,1553169600,-25.24,130.99,89.6,18,0,4.7
59,Punta Arenas,CL,1553172789,-53.16,-70.91,46.4,81,0,6.93
60,Saryozek,KZ,1553173268,44.36,77.98,51.19,50,12,4.14
61,Thompson,CA,1553169600,55.74,-97.86,33.8,64,75,17.22
62,Abu Kamal,SY,1553173271,34.45,40.92,71.26,33,20,4.59
63,Mastic Beach,US,1553173264,40.77,-72.85,46.99,75,90,12.75
64,Port Elizabeth,US,1553173271,39.31,-74.98,48.0,100,90,12.75
65,Kapaa,US,1553173110,22.08,-159.32,69.8,82,75,4.7
66,Severo-Kurilsk,RU,1553173278,50.68,156.12,22.66,100,48,11.97
67,Moose Factory,CA,1553169600,51.26,-80.61,19.4,92,75,13.87
68,Husavik,CA,1553173249,50.56,-96.99,35.01,93,0,3.0
69,Coquimbo,CL,1553169600,-29.95,-71.34,55.4,87,90,2.24
70,Kruisfontein,ZA,1553173284,-34.0,24.73,66.85,78,0,13.87
71,Mount Gambier,AU,1553169600,-37.83,140.78,60.8,100,90,13.87
72,Belmonte,PT,1553173223,40.36,-7.35,60.01,48,0,4.0
73,Nouadhibou,MR,1553169600,20.93,-17.03,73.4,69,12,10.29
74,Izhmorskiy,RU,1553173290,56.19,86.64,27.52,86,0,8.16
75,Yellowknife,CA,1553173262,62.45,-114.38,21.2,85,40,12.75
76,Hay River,CA,1553169600,60.82,-115.79,26.6,86,20,5.82
77,Hobart,AU,1553173275,-42.88,147.33,59.0,87,75,10.29
78,Paamiut,GL,1553173295,61.99,-49.67,18.61,100,64,20.8
79,Pangody,RU,1553173296,65.85,74.49,28.87,95,76,10.18
80,Chippewa Falls,US,1553173284,44.94,-91.39,33.8,100,1,4.14
81,Puerto Escondido,MX,1553168460,15.86,-97.07,75.2,73,5,5.82
82,Vaini,IN,1553169600,15.34,74.49,89.6,31,20,5.82
83,Chokurdakh,RU,1553173303,70.62,147.9,-22.35,33,0,9.84
84,Bredasdorp,ZA,1553172376,-34.53,20.04,75.2,44,12,8.05
85,Sitka,US,1553173229,37.17,-99.65,30.99,90,0,1.99
86,Kiruna,SE,1553170800,67.86,20.23,28.4,92,90,5.82
87,Bluff,AU,1553173308,-23.58,149.07,75.22,72,0,9.06
88,Faya,SA,1553169600,18.39,42.45,75.2,35,0,16.11
89,Upernavik,GL,1553173311,72.79,-56.15,-14.7,100,0,10.63
90,Lebu,ET,1553173312,8.96,38.73,81.43,20,0,8.5
91,Kabalo,CD,1553173313,-6.05,26.92,91.69,60,0,4.59
92,Black Diamond,CA,1553173275,50.69,-114.23,37.99,74,1,10.29
93,Tuatapere,NZ,1553173209,-46.13,167.69,61.0,90,68,1.57
94,Kavieng,PG,1553173318,-2.57,150.8,84.31,99,88,8.05
95,Khatanga,RU,1553173321,71.98,102.47,10.06,73,68,1.9
96,Haines Junction,CA,1553173322,60.75,-137.51,23.92,78,56,2.13
97,Codrington,AU,1553173083,-28.95,153.24,71.6,88,40,2.57
98,San Patricio,PY,1553173325,-26.98,-56.83,67.3,76,0,6.6
99,Cape Town,ZA,1553172965,-33.93,18.42,77.0,43,0,25.28
100,Xining,CN,1553173328,36.62,101.77,34.09,55,68,9.84
101,Nikolskoye,RU,1553173235,59.7,30.79,46.4,89,20,15.66
102,Airai,TL,1553173331,-8.93,125.41,72.16,83,12,1.12
103,Clyde River,CA,1553169600,70.47,-68.59,-27.41,67,1,4.7
104,Amga,RU,1553173334,60.89,131.98,-10.92,71,0,2.57
105,Ellwangen,DE,1553173332,47.98,9.94,55.4,43,0,5.82
106,Alenquer,BR,1553169600,-1.95,-54.74,80.6,94,40,5.82
107,Leningradskiy,RU,1553173340,69.38,178.42,-8.67,66,12,15.21
108,Katsuura,JP,1553172449,33.93,134.5,64.4,93,75,2.24
109,Newport,GB,1553173327,51.59,-3.0,57.0,81,90,9.17
110,Kharagpur,IN,1553173345,22.34,87.3,85.12,59,20,5.59
111,Den Helder,NL,1553173337,52.96,4.76,52.0,93,90,13.87
112,Margate,AU,1553173335,-43.03,147.26,59.0,87,75,10.29
113,Portobelo,PA,1553173269,9.55,-79.65,81.0,74,20,3.36
114,Develi,TR,1553170800,38.39,35.49,59.0,21,40,10.29
115,Vila Franca do Campo,PT,1553173347,37.72,-25.43,60.8,72,40,6.93
116,Kampene,CD,1553173353,-3.59,26.67,91.06,51,12,2.91
117,Mabaruma,GY,1553173354,8.2,-59.78,78.91,81,88,6.93
118,Fare,PF,1553173357,-16.7,-151.02,82.87,100,56,2.68
119,Avarua,CK,1553171400,-21.21,-159.78,77.0,94,88,1.12
120,Zhigansk,RU,1553173359,66.77,123.37,-8.04,63,12,6.6
121,Mogzon,RU,1553173361,51.74,111.97,17.26,57,64,8.61
122,Mouila,GA,1553173362,-1.86,11.06,85.93,83,32,3.36
123,Basco,US,1553173316,40.33,-91.2,37.0,88,1,10.29
124,Aksu,KZ,1553171400,52.04,76.93,32.0,92,0,6.71
125,Vila,IT,1553173344,45.18,8.4,63.0,33,0,4.7
126,Devonport,AU,1553173024,-41.18,146.36,63.0,92,80,2.13
127,Gambela,ET,1553173369,8.25,34.59,94.75,24,24,5.26
128,Cortez,US,1553173117,37.35,-108.58,46.4,52,90,16.11
129,Salalah,OM,1553169000,17.01,54.1,84.2,51,0,11.41
130,Port Blair,IN,1553173081,11.67,92.75,86.74,94,8,8.61
131,Rantauprapat,ID,1553173374,2.1,99.83,73.6,92,64,2.68
132,Fethiye,TR,1553173091,36.62,29.12,72.0,77,75,11.41
133,Iqaluit,CA,1553173367,63.75,-68.52,-20.01,75,75,3.36
134,Jacareacanga,BR,1553169600,-6.22,-57.76,78.8,94,75,2.24
135,Chelbasskaya,RU,1553173217,45.98,39.37,52.0,91,48,8.16
136,Rzhaksa,RU,1553173381,52.14,42.03,32.74,99,36,4.14
137,Victoria,BN,1553171400,5.28,115.24,82.4,88,75,2.24
138,Jamestown,AU,1553173162,-33.21,138.6,66.85,79,0,9.4
139,Kununurra,AU,1553171400,-15.77,128.74,87.8,62,20,3.36
140,Davila,PH,1553169600,18.47,120.58,80.6,83,75,9.17
141,Evensk,RU,1553173392,61.92,159.24,14.38,100,80,21.7
142,Filadelfia,PY,1553173393,-22.35,-60.04,68.02,96,92,10.96
143,Aginskoye,RU,1553173395,51.11,114.54,19.96,44,20,8.72
144,Westport,IE,1553173230,53.8,-9.52,54.0,87,75,14.99
145,Taltal,CL,1553173399,-25.41,-70.49,56.5,95,0,2.57
146,Oktyabrskoye,RU,1553173227,56.73,85.44,35.01,74,0,11.18
147,Talnakh,RU,1553173401,69.49,88.39,23.38,88,88,11.41
148,Georgetown,GY,1553169600,6.8,-58.16,82.4,74,20,13.87
149,Alyangula,AU,1553169600,-13.85,136.42,80.6,83,0,3.36
150,Chuy,UY,1553173406,-33.69,-53.46,60.1,92,36,10.96
151,Souillac,FR,1553173288,45.6,-0.6,61.0,36,0,13.87
152,Luderitz,NA,1553173409,-26.65,15.16,69.28,82,0,16.67
153,Thai Binh,VN,1553171400,20.45,106.33,77.0,100,90,8.05
154,Kovur,IN,1553173412,14.5,79.99,92.5,37,8,12.41
155,Nampa,US,1553173271,43.57,-116.56,41.0,59,1,5.82
156,Cayenne,GF,1553171400,4.94,-52.33,84.2,66,40,12.75
157,Tilichiki,RU,1553173416,60.47,166.1,13.84,73,68,7.16
158,Srednekolymsk,RU,1553173417,67.46,153.71,-18.93,27,0,2.35
159,Butaritari,KI,1553173418,3.07,172.79,80.08,100,80,6.6
160,Qaanaaq,GL,1553173420,77.48,-69.36,-22.62,63,36,5.82
161,La Ligua,CL,1553169600,-32.45,-71.23,46.4,93,0,4.7
162,Dikson,RU,1553173422,73.51,80.55,19.15,94,64,18.45
163,Cabra,ES,1553173391,37.47,-4.43,64.4,23,0,16.11
164,Coahuayana,MX,1553173426,18.62,-100.35,55.06,70,24,1.45
165,Geraldton,CA,1553169600,49.72,-86.95,28.4,86,20,11.41
166,Cherskiy,RU,1553173429,68.75,161.3,-23.52,35,8,0.67
167,Vostok,RU,1553173430,46.45,135.83,21.76,75,80,2.8
168,Port Lincoln,AU,1553173432,-34.72,135.86,65.23,93,0,12.64
169,Benjamin Hill,MX,1553173276,30.17,-111.1,50.0,55,0,5.99
170,Jega,NG,1553173434,12.22,4.38,98.08,41,0,5.14
171,Igunga,TZ,1553173437,-4.28,33.88,89.35,38,0,8.72
172,Ballina,IE,1553173384,54.11,-9.15,55.4,87,75,14.99
173,Ponta do Sol,BR,1553173439,-20.63,-46.0,72.34,98,48,4.7
174,Loa Janan,ID,1553173441,-0.58,117.09,80.26,89,20,2.68
175,Praia da Vitoria,PT,1553173273,38.73,-27.07,63.0,72,75,7.05
176,Polunochnoye,RU,1553173443,60.87,60.43,39.13,73,8,7.16
177,Ancud,CL,1553169600,-41.87,-73.83,48.2,100,90,9.17
178,Yen Bai,VN,1553173446,21.7,104.87,79.27,67,0,2.13
179,Katherine,AU,1553171400,-14.47,132.26,87.8,70,24,1.12
180,Fortuna,ES,1553173448,38.18,-1.13,63.0,36,20,21.92
181,Havelock,US,1553173247,34.88,-76.9,57.99,87,75,11.41
182,Naze,NG,1553169600,5.43,7.07,93.2,59,75,3.36
183,Mar del Plata,AR,1553173452,-46.43,-67.52,46.06,100,68,2.13
184,Karatsu,JP,1553173446,33.45,129.97,59.0,71,75,12.75
185,Angoche,MZ,1553173455,-16.23,39.91,83.86,98,24,11.74
186,Copiapo,CL,1553169600,-27.37,-70.33,57.2,87,90,4.7
187,Sokolo,ML,1553173458,14.74,-6.12,95.92,24,12,10.4
188,Tirat Karmel,IL,1553173314,32.76,34.97,71.6,72,0,10.29
189,Nemuro,JP,1553173460,43.32,145.57,39.22,76,92,27.85
190,Harper,US,1553173300,30.3,-99.24,52.0,93,75,2.57
191,Alofi,NU,1553169600,-19.06,-169.92,75.2,88,80,4.7
192,Sola,FI,1553170800,62.78,29.36,37.4,74,75,8.05
193,Constitucion,MX,1553173215,23.99,-104.67,46.0,57,0,5.99
194,El Campo,US,1553173414,29.2,-96.27,57.0,93,1,2.91
195,Heihe,RU,1553169600,50.24,127.51,14.0,51,0,2.24
196,Tsubata,JP,1553173415,36.67,136.73,61.0,82,75,17.22
197,Abnub,EG,1553169600,27.27,31.15,78.8,29,0,6.93
198,Nizhniy Tsasuchey,RU,1553173474,50.52,115.13,25.18,36,48,10.51
199,Vestmannaeyjar,IS,1553169600,63.44,-20.27,33.8,86,75,17.22
200,Saint-Joseph,FR,1553173293,43.56,6.97,66.2,35,0,4.7
201,Faanui,PF,1553173479,-16.48,-151.75,84.31,100,88,7.72
202,San Cristobal,EC,1553173278,-0.39,-78.55,55.4,93,75,4.7
203,Ostrovnoy,RU,1553173482,68.05,39.51,26.44,90,44,10.63
204,Huarmey,PE,1553173485,-10.07,-78.15,65.68,83,36,3.02
205,Belaya Gora,RU,1553173486,68.54,146.19,-25.41,0,0,2.8
206,Gerardmer,FR,1553173303,48.07,6.88,61.0,33,0,12.75
207,Tacoronte,ES,1553173277,28.48,-16.41,73.4,77,20,10.29
208,Athabasca,CA,1553173490,54.72,-113.29,23.38,74,0,8.39
209,Meulaboh,ID,1553173491,4.14,96.13,78.82,100,76,5.37
210,Berlevag,NO,1553169000,70.86,29.09,32.0,95,75,8.05
211,Port Alfred,ZA,1553173343,-33.59,26.89,73.99,73,0,5.01
212,Madinat Sittah Uktubar,EG,1553173373,29.82,31.05,77.0,31,0,9.17
213,El Cope,PA,1553173200,8.69,-82.32,77.0,88,40,2.24
214,Cabo San Lucas,MX,1553173304,22.89,-109.91,61.0,100,5,5.82
215,Puerto Ayora,EC,1553173211,-0.74,-90.35,75.0,94,0,3.24
216,Ambilobe,MG,1553173502,-13.19,49.05,80.98,96,44,4.47
217,Bandarbeyla,SO,1553173503,9.49,50.81,78.82,100,0,9.4
218,Klaksvik,FO,1553172600,62.23,-6.59,41.0,86,75,16.11
219,San Rafael,AR,1553173259,-34.61,-68.33,48.04,56,68,2.91
220,Dabwali,IN,1553173510,29.95,74.74,78.37,49,0,6.15
221,Lorengau,PG,1553173512,-2.02,147.27,82.69,99,20,8.05
222,Padang,ID,1553169600,-0.92,100.36,77.0,94,75,8.05
223,Posse,BR,1553173515,-14.08,-46.36,76.48,95,24,4.7
224,Hohhot,CN,1553169600,40.81,111.65,32.0,33,20,13.42
225,Amahai,ID,1553169127,-3.31,129.0,86.0,73,12,5.48
226,Sinzig,DE,1553173516,50.55,7.25,64.99,36,0,3.36
227,Hasaki,JP,1553173339,35.73,140.83,64.4,82,75,12.75
228,Tiruchchendur,IN,1553167800,8.48,78.12,91.4,55,20,9.17
229,Henties Bay,NA,1553173329,-22.12,14.28,66.0,82,0,7.0
230,Patancheru,IN,1553173314,17.53,78.27,93.2,43,40,6.93
231,Mechetinskaya,RU,1553173525,46.77,40.45,55.33,62,64,8.72
232,Tura,IN,1553173526,25.52,90.21,77.38,55,0,5.82
233,Dingle,PH,1553173529,11.0,122.67,81.34,61,0,12.64
234,Qujing,CN,1553173530,25.49,103.8,62.17,30,0,16.22
235,Fairbanks,US,1553173292,64.84,-147.72,37.4,68,75,5.82
236,Beringovskiy,RU,1553173535,63.05,179.32,-2.55,85,44,14.54
237,Ca Mau,VN,1553173537,9.18,105.15,81.16,89,32,2.46
238,Visby,SE,1553173461,57.64,18.3,50.0,81,20,25.28
239,Khovu-Aksy,RU,1553173540,51.13,93.72,17.44,74,0,2.68
240,Ambovombe,MG,1553173541,-25.18,46.09,83.68,67,92,6.93
241,Ust-Kuyga,RU,1553173543,70.0,135.55,-9.75,67,64,5.93
242,Hamilton,BM,1553173290,32.3,-64.78,64.0,82,75,24.16
243,Kiunga,PG,1553173546,-6.12,141.3,80.62,75,12,1.34
244,Pisco,PE,1553169600,-13.71,-76.2,71.6,30,75,6.93
245,Mitsamiouli,KM,1553169600,-11.38,43.28,91.4,66,40,12.75
246,Jalu,LY,1553173379,29.03,21.55,76.57,61,36,2.68
247,Vardo,US,1553173403,39.62,-77.74,41.0,86,90,3.36
248,Bubaque,GW,1553173552,11.28,-15.83,79.36,94,0,7.94
249,Kloulklubed,PW,1553172600,7.04,134.26,77.0,88,75,5.82
250,White Oak,US,1553173544,39.04,-76.99,46.4,100,90,4.92
251,Mayumba,GA,1553173557,-3.44,10.65,83.77,94,24,7.94
252,Gondanglegi,ID,1553173558,-7.75,112.01,73.78,95,92,2.46
253,Norman Wells,CA,1553169600,65.28,-126.83,33.8,69,75,6.93
254,Bathsheba,BB,1553169600,13.22,-59.52,82.4,65,20,11.41
255,Buraydah,SA,1553169600,26.33,43.97,87.8,25,40,9.17
256,Kwinana,AU,1553173489,-32.25,115.77,75.2,83,32,4.7
257,Kyabram,AU,1553173068,-36.31,145.05,73.99,53,56,6.82
258,Hami,CN,1553173566,42.84,93.51,45.7,38,0,8.28
259,Broome,GB,1553173564,52.47,1.45,60.01,100,90,3.36
260,Zemio,CF,1553173570,5.02,25.13,98.08,35,20,4.81
261,Deputatskiy,RU,1553173572,69.3,139.9,-30.54,0,0,2.68
262,Mikhaylovka,RU,1553173573,52.96,103.29,24.82,72,80,7.94
263,Touros,BR,1553173200,-5.2,-35.46,84.2,79,75,9.17
264,Inirida,CO,1553173576,3.87,-67.92,76.93,91,80,2.57
265,Cangzhou,CN,1553173577,38.3,116.85,42.64,41,0,6.38
266,Ardakan,IR,1553169600,32.31,54.02,66.2,16,20,2.24
267,Arlit,NE,1553173580,18.74,7.39,87.37,43,0,5.82
268,North Bend,US,1553173524,43.41,-124.22,48.99,100,90,5.82
269,Demyansk,RU,1553173583,57.64,32.46,45.25,72,12,12.97
270,Santiago,CL,1553173200,-33.44,-70.65,60.8,38,0,2.24
271,Kavaratti,IN,1553173586,10.57,72.64,83.32,100,0,5.7
272,Tutoia,BR,1553171520,-2.76,-42.27,80.6,74,90,6.93
273,San Jeronimo,PE,1553169600,-13.65,-73.37,44.6,52,75,1.68
274,Naryan-Mar,RU,1553173590,67.67,53.09,30.04,94,80,11.18
275,Hirara,JP,1553173591,24.8,125.28,76.21,95,92,15.66
276,Nome,US,1553173561,30.04,-94.42,55.0,93,1,5.26
277,Kodiak,US,1553173586,39.95,-94.76,33.01,87,1,4.7
278,Hun,BE,1553173547,50.34,4.87,60.01,50,20,2.24
279,Ossora,RU,1553173598,59.24,163.07,28.24,88,88,19.8
280,Lagoa,PT,1553173535,37.14,-8.45,69.01,52,20,18.34
281,Sur,OM,1553173602,22.57,59.53,76.12,85,24,7.38
282,Atherton,GB,1553173564,53.52,-2.49,59.0,93,75,9.17
283,Thap Than,TH,1553173601,15.46,99.89,95.0,59,8,0.45
284,Takoradi,GH,1553173607,4.89,-1.75,76.12,100,92,7.16
285,Palmerston,CA,1553173583,43.83,-80.85,36.0,93,90,4.7
286,Beckley,US,1553173573,37.78,-81.19,37.4,70,40,2.24
287,Staraya Kulatka,RU,1553173611,52.73,47.62,35.44,99,92,3.91
288,Mariestad,SE,1553173227,58.71,13.82,51.8,87,20,16.11
289,Kinablangan,PH,1553173613,7.69,126.55,80.26,100,100,7.38
290,Rome,IT,1553173339,41.89,12.48,73.0,32,0,10.29
291,Gambo,NG,1553173616,11.96,9.63,104.92,24,0,7.49
292,Banda Aceh,ID,1553173617,5.56,95.32,79.09,94,56,1.34
293,Penzance,GB,1553173510,50.12,-5.53,57.0,100,75,5.82
294,Namatanai,PG,1553173620,-3.66,152.44,83.86,95,68,8.39
295,Miri,NG,1553173621,10.31,9.75,94.3,39,20,1.9
296,Fort Saint James,CA,1553173623,54.43,-124.25,24.46,69,48,2.01
297,Formosa,AR,1553169600,-26.19,-58.17,66.2,77,0,13.87
298,Shingu,JP,1553173625,33.72,135.99,65.05,92,76,15.1
299,Tahoua,NE,1553169600,14.89,5.26,102.2,10,0,13.87
300,Kaeo,NZ,1553173384,-35.1,173.78,63.0,95,92,8.28
301,Griffith,AU,1553169600,-34.29,146.06,82.4,29,56,4.7
302,Guerrero Negro,MX,1553173631,27.97,-114.04,52.72,99,0,11.18
303,Tromso,NO,1553172600,69.65,18.96,39.2,69,75,12.75
304,Gimli,CA,1553173548,50.63,-96.99,35.01,93,0,5.99
305,Rio Grande,BR,1553169600,-32.03,-52.1,60.8,72,20,9.17
306,Carutapera,BR,1553173637,-1.2,-46.02,76.84,100,92,2.8
307,Porto Velho,BR,1553173638,-8.75,-63.87,77.74,90,76,3.13
308,Iskateley,RU,1553173639,67.68,53.15,29.68,92,80,10.18
309,Nanortalik,GL,1553173641,60.14,-45.24,23.29,100,44,35.9
310,Chulman,RU,1553173643,56.84,124.9,2.14,53,12,4.92
311,Bilibino,RU,1553173646,68.06,166.44,-14.52,42,64,2.35
312,Gigmoto,PH,1553173647,13.78,124.39,77.74,100,0,9.4
313,Fonte Boa,BR,1553173649,-2.51,-66.09,76.12,93,68,6.71
314,Basiad,PH,1553173650,14.16,122.34,80.08,92,0,12.19
315,Omsukchan,RU,1553173651,62.53,155.8,-20.37,27,24,2.57
316,Ola,RU,1553173653,59.58,151.3,13.75,100,80,10.96
317,Alice Springs,AU,1553171400,-23.7,133.88,82.4,21,0,6.93
318,Senanga,ZM,1553173655,-16.1,23.3,94.84,29,0,6.6
319,Melo,UY,1553173656,-32.37,-54.17,58.66,74,0,7.72
320,Teya,MX,1553173224,21.05,-89.07,70.0,88,75,2.35
321,Nara,JP,1553173404,34.68,135.8,66.0,100,75,9.17
322,Isangel,VU,1553169600,-19.55,169.27,75.2,88,76,3.36
323,Cartagena,ES,1553173484,37.63,-1.0,62.6,45,20,19.46
324,Kodinsk,RU,1553173664,58.6,99.18,27.16,70,76,4.59
325,Avera,US,1553173629,33.19,-82.53,45.0,100,1,3.13
326,Lagos,NG,1553169600,6.46,3.39,93.2,63,75,8.05
327,Shestakovo,RU,1553173669,56.49,103.96,20.32,62,20,4.36
328,Inhambane,MZ,1553173513,-23.87,35.38,85.48,73,20,9.73
329,Vila do Maio,CV,1553169600,15.13,-23.22,80.6,47,75,17.22
330,Wajir,KE,1553169600,1.75,40.07,100.4,33,75,6.93
331,Cascais,PT,1553173541,38.7,-9.42,64.99,67,20,9.17
332,Palmer,AU,1553173591,-34.85,139.16,70.0,77,40,5.82
333,Mansa,IN,1553171400,23.43,72.66,93.2,18,0,5.82
334,Bambous Virieux,MU,1553173442,-20.34,57.76,86.0,70,75,11.41
335,Yarmouth,GB,1553173627,50.71,-1.5,55.99,76,75,2.24
336,General Cepeda,MX,1553173504,25.38,-101.48,48.2,81,90,3.13
337,Kuryk,KZ,1553173683,43.18,51.68,51.1,86,48,8.72
338,Maine-Soroa,NE,1553173685,13.21,12.02,106.81,16,0,6.04
339,Mwinilunga,ZM,1553173686,-11.73,24.43,80.26,67,8,3.36
340,Sumbe,AO,1553169600,-11.2,13.84,87.8,95,75,5.82
341,Sobolevo,RU,1553173690,54.43,31.9,45.25,71,0,14.43
342,Waiouru,NZ,1553173692,-39.48,175.67,51.91,100,36,2.57
343,Jackson,US,1553173520,35.61,-88.82,44.01,91,1,4.7
344,Fujin,CN,1553173698,47.24,132.03,22.3,67,64,11.97
345,Garbolovo,RU,1553173535,60.34,30.5,46.4,79,20,15.66
346,Veracruz,VE,1553169600,7.66,-72.25,75.2,94,75,2.24
347,Lillehammer,NO,1553173413,61.11,10.47,53.01,58,0,1.99
348,Rapid Valley,US,1553173421,44.06,-103.15,36.0,64,1,2.91
349,Hastings,NZ,1553173704,-39.64,176.84,62.89,100,48,3.02
350,Borujerd,IR,1553169600,33.89,48.76,60.8,34,0,11.41
351,Kalmunai,LK,1553173708,7.42,81.82,82.87,78,36,7.72
352,Champerico,MX,1553169480,16.38,-93.6,68.0,82,5,4.7
353,Larsnes,NO,1553173503,62.2,5.58,44.6,96,0,8.05
354,Praia,BR,1553169600,-20.25,-43.81,69.8,88,75,8.05
355,Nantucket,US,1553173442,41.28,-70.1,44.01,65,1,13.87
356,Sisimiut,GL,1553173716,66.94,-53.67,-22.53,31,12,1.9
357,Comodoro Rivadavia,AR,1553173481,-45.87,-67.48,52.99,100,64,5.14
358,Muros,ES,1553173504,42.77,-9.06,62.01,51,0,3.36
359,Torbay,CA,1553173718,47.66,-52.73,37.0,58,20,17.22
360,Fort Nelson,CA,1553169600,58.81,-122.69,33.8,64,5,5.82
361,Pitimbu,BR,1553169600,-7.47,-34.81,86.0,74,75,8.05
362,Flinders,AU,1553173556,-34.58,150.85,68.0,100,75,4.7
363,Sorgun,TR,1553173725,39.81,35.19,49.48,69,0,11.41
364,Camocim,BR,1553173447,-2.9,-40.84,76.48,100,92,4.36
365,Itarema,BR,1553173727,-2.92,-39.92,78.55,100,76,4.36
366,Laguna,MX,1553173730,27.52,-110.01,52.54,72,12,2.24
367,Benghazi,LY,1553173731,32.12,20.07,65.5,89,0,8.39
368,Sorland,NO,1553170800,67.67,12.69,37.4,98,75,46.08
369,Gbadolite,CD,1553173734,4.28,21.0,98.26,38,8,3.24
370,Port Hardy,CA,1553169600,50.7,-127.42,33.8,86,20,2.24
371,Hoquiam,US,1553173650,46.98,-123.89,51.8,81,75,12.75
372,Satuk,TR,1553169000,41.23,32.38,52.0,66,40,16.11
373,Pemba,MZ,1553173513,-12.97,40.52,84.22,100,0,11.74
